Effective 1 September 2016 to 13 November 2016||||
To Singapore from:||||
Sector|Days|Flight|Dep/Arr (Local Time)|Remark
Bengaluru (BLR)|Mon,Thu,Fri,Sat,Sun|MI 423|0945/1650|
Bengaluru (BLR)|Mon,Tue,Wed,Thu,Fri,Sat,Sun|SQ 503|2305/0610+1|Disc. OCT29
Bengaluru (BLR)|Mon,Tue,Wed,Thu,Fri,Sat,Sun|SQ 503|2310/0610+1|Eff. OCT30
Chennai (MAA)|Fri,Sat,Sun|MI 435|1030/1720|Disc. OCT29
Chennai (MAA)|Fri,Sat,Sun|MI 435|1000/1645|Eff. OCT30
Chennai (MAA)|Mon,Tue,Wed,Thu,Fri,Sat,Sun|SQ 529|2320/0615+1|SEP21 - OCT29
Chennai (MAA)|Mon,Tue,Wed,Thu,Fri,Sat,Sun|SQ 529|2315/0555+1|Eff. OCT30
Hyderabad (HYD)|Mon,Sat,Sun|MI 471|0050/0810|Disc. OCT30
Hyderabad (HYD)|Mon,Fri,Sat,Sun|MI 471|0050/0750|Eff. OCT31
Hyderabad (HYD)|Mon,Tue,Wed,Thu,Fri,Sat,Sun|MI 473|2300/0610+1|Disc. OCT29
Hyderabad (HYD)|Mon,Tue,Wed,Thu,Fri,Sat,Sun|MI 473|2305/0615+1|Eff. OCT30
Kolkata (CCU)|Tue,Wed,Thu,Sun|MI 487|2350/0640+1|Disc. OCT27, Exc. OCT12, OCT19, OCT26
Kolkata (CCU)|Tue,Wed,Thu,Sun|MI 487|2355/0640+1|Eff. OCT30
Kolkata (CCU)|Mon,Fri,Sat|SQ 517|2350/0640+1|Disc. OCT3
Kolkata (CCU)|Mon,Wed,Fri,Sat|SQ 517|2350/0640+1|OCT5 - OCT29
Kolkata (CCU)|Mon,Fri,Sat|SQ 517|2355/0640+1|Eff. OCT31
